gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
F,2,資工系,4,1,0,3,0,0,0,1,2,3,working,cwseny,cwesny,csweny,cwesny
F,4,資工,4,2,3,3,0,0,0,1,2,3,commuting,csnewy,csenwy,cnsewy,csenwy
F,2,心諮系,2,1,0,1,0,0,0,1,2,3,working,cwnsey,cwnsey,cnwesy,cwnsey
F,4,已畢業,2,0,1,0,1,0,0,1,2,3,working,ncywse,ncwyes,ncyesw,cnwyes
F,2,外語,4,4,2,1,0,0,0,1,2,3,working,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,3,1,1,2,0,0,0,1,2,3,commuting,cwnsey,cwnsey,cnwesy,cwnsey
F,4,國貿科,1,1,2,0,1,0,0,1,2,3,resting,cnwsye,cnswey,cnwesy,cnswey
M,4,地球科學,4,1,1,1,1,0,0,2,1,3,commuting,ncwsey,ncswey,ncwesy,cnswey
F,4,工業管理科,2,0,0,0,0,0,0,1,2,3,resting,cseywn,cseynw,cesnwy,cseynw
F,4,機械,1,1,0,0,1,0,0,1,2,3,resting,scewyn,scewny,scenwy,csewny
M,4,地球科學,4,1,1,1,1,0,0,2,1,3,working,ncwsey,ncswey,ncwesy,cnswey
F,2,人社,3,2,1,1,0,0,0,1,2,3,working,nwscey,nwcsey,nswcey,nwcsey
M,4,無,2,1,2,0,1,0,1,1,3,2,wakingup,nwscye,nwcsey,nswcey,nwcsey
F,4,應用統計,2,1,1,0,0,0,0,1,2,3,working,nwcsye,nwcsey,ncwesy,nwcsey
F,2,資工系,3,2,2,1,0,1,1,1,2,3,commuting,ncswey,ncswey,ncsewy,cnswey
F,2,資工,3,2,2,1,0,0,0,1,2,3,commuting,csnwey,csnwey,cnsewy,csnwey
M,2,資工系,4,2,2,2,0,0,0,1,2,3,commuting,cnswey,cnswey,cnsewy,cnswey
F,2,人社系,3,3,1,1,1,0,0,1,2,3,resting,cseywn,cseynw,cesnwy,cseynw
F,2,工工系,3,0,1,2,0,0,0,1,2,3,commuting,ncwsey,ncswey,ncwesy,cnswey
M,2,電機系,4,2,1,4,0,0,0,1,2,3,working,csweny,csewny,csweny,csewny
